Time(ms),Price($)
1.613019600000000000e+12,2.789664374962310103e+04
1.613192400000000000e+12,2.786328031646642557e+04
1.613365200000000000e+12,2.787090066034273332e+04
1.613538000000000000e+12,2.784427504409390531e+04
1.613710800000000000e+12,2.782804103927984033e+04
1.613883600000000000e+12,2.782149485267828277e+04
1.614056400000000000e+12,2.779891577315325776e+04
1.614229200000000000e+12,2.779089287930871433e+04
1.614402000000000000e+12,2.778194566514894177e+04
1.614574800000000000e+12,2.779958819330847109e+04
1.614747600000000000e+12,2.778428210409407257e+04
1.614920400000000000e+12,2.779988786459200128e+04
1.615093200000000000e+12,2.782234300429475843e+04
1.615266000000000000e+12,2.783084932698104603e+04
1.615438800000000000e+12,2.782289177366527656e+04
1.615611600000000000e+12,2.784716726668977935e+04
1.615780800000000000e+12,2.785475366182470316e+04
1.615953600000000000e+12,2.783479850797855761e+04
1.616126400000000000e+12,2.783789100312723531e+04
1.616299200000000000e+12,2.785243537693816324e+04
1.616472000000000000e+12,2.785734462445070676e+04
1.616644800000000000e+12,2.785523529698426864e+04
1.616817600000000000e+12,2.789699833760685942e+04
1.616990400000000000e+12,2.791902181909166029e+04
1.617163200000000000e+12,2.793661494418537404e+04
1.617336000000000000e+12,2.801278521884633301e+04
1.617508800000000000e+12,2.809886923518225376e+04
1.617681600000000000e+12,2.815164551351689806e+04
1.617854400000000000e+12,2.818314798336397871e+04
1.618027200000000000e+12,2.826018878270953792e+04
1.618200000000000000e+12,2.831175875394631657e+04
1.618372800000000000e+12,2.834333940904138944e+04
1.618545600000000000e+12,2.840986094453893747e+04
1.618718400000000000e+12,2.849873535709721546e+04
1.618891200000000000e+12,2.856206712908775444e+04
1.619064000000000000e+12,2.864050150652117736e+04
1.619236800000000000e+12,2.873643127827554781e+04
1.619409600000000000e+12,2.882239406736422825e+04
1.619582400000000000e+12,2.886649536678022196e+04
1.619755200000000000e+12,2.893401566925679072e+04
1.619928000000000000e+12,2.903955779901005371e+04
1.620100800000000000e+12,2.910518446825472347e+04
1.620273600000000000e+12,2.918213400601787725e+04
1.620446400000000000e+12,2.929654379537771820e+04
1.620619200000000000e+12,2.939171328589027326e+04
1.620792000000000000e+12,2.947024016768310321e+04
1.620964800000000000e+12,2.958403645903136567e+04
1.621137600000000000e+12,2.968291968281014488e+04
1.621310400000000000e+12,2.974506104235008024e+04
1.621483200000000000e+12,2.981236262312748659e+04
1.621656000000000000e+12,2.993206389262415178e+04
1.621828800000000000e+12,3.003786118094257836e+04
1.622001600000000000e+12,3.009087414829634508e+04
1.622174400000000000e+12,3.018204795439473310e+04
1.622347200000000000e+12,3.030532134123349533e+04
1.622520000000000000e+12,3.038308083898833866e+04
1.622692800000000000e+12,3.047637458208659154e+04
1.622865600000000000e+12,3.059558984923802200e+04
1.623038400000000000e+12,3.067883262034661311e+04
1.623211200000000000e+12,3.074982633173184149e+04
1.623384000000000000e+12,3.079790566822289838e+04
1.623556800000000000e+12,3.091221627887554860e+04
1.623729600000000000e+12,3.099818207412413176e+04
1.623902400000000000e+12,3.105593706371264125e+04
1.624075200000000000e+12,3.112028975481191810e+04
1.624248000000000000e+12,3.119471413473840585e+04
1.624420800000000000e+12,3.124410048690339681e+04
1.624593600000000000e+12,3.128117724436617573e+04
1.624766400000000000e+12,3.134013225069966938e+04
1.624939200000000000e+12,3.137054526585915301e+04
1.625112000000000000e+12,3.138820070279244464e+04
1.625284800000000000e+12,3.144585187794421290e+04
1.625457600000000000e+12,3.150609492756471445e+04
1.625630400000000000e+12,3.154337851063007838e+04
1.625803200000000000e+12,3.156037816993108208e+04
1.625976000000000000e+12,3.161567610751354005e+04
1.626148800000000000e+12,3.164323109705348543e+04
1.626321600000000000e+12,3.164790677261982637e+04
1.626494400000000000e+12,3.168909567835147027e+04
1.626667200000000000e+12,3.172598953477774921e+04
1.626840000000000000e+12,3.173433747401120490e+04
1.627012800000000000e+12,3.175725075345449295e+04
1.627185600000000000e+12,3.180823107009205705e+04
1.627358400000000000e+12,3.182339149617702788e+04
1.627531200000000000e+12,3.179282306388037978e+04
1.627704000000000000e+12,3.181830886696158632e+04
1.627876800000000000e+12,3.185945425734372839e+04
1.628049600000000000e+12,3.188566934376600693e+04
1.628222400000000000e+12,3.188819838337633701e+04
1.628395200000000000e+12,3.192396176391117478e+04
1.628568000000000000e+12,3.194257225399477102e+04
1.628740800000000000e+12,3.197757598122159470e+04
